track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
VIBEZ,DaBaby,spotify:track:fySG6A6qLE8IvDpayb5bM,0.768,0.652,1,-2.78,,0.37,0.113,,0.17,0.777,154.187,144935,4,25.73855,1,1
Payphone,Maroon 5 Featuring Wiz Khalifa,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,0.739,0.756,4,-4.828,1,0.394,0.136,,0.37,0.523,11.28,231387,4,54.19415,8,1
Bluebird,Makoto,spotify:track:7nVaD41qU69LYUAGEU6ct1,0.419,0.983,5,-4.386,1,0.16,0.14,0.889,0.52,0.116,174.96,298276,4,36.9253,11,
Radiance,Oppenheimer Analysis,spotify:track:4jBdmRVGihIRG5QSB4BTO9,0.61,0.777,,-13.852,1,0.312,0.493,0.877,0.842,0.966,16.124,28613,4,25.2112,13,
Tukka Yoot's Riddim,Us3,spotify:track:3wRlAvaaZNRwJoeKEXh5Ic,0.855,0.629,1,-12.43,1,0.366,0.274,,0.363,0.964,127.29,341427,4,26.144,16,
Chebika - Claudio Mate Metal Remix,Stefano Patarnello,spotify:track:C5TqBcgnk944ETx3ZtWo,0.624,0.863,7,-8.142,,0.3,3.78E-01,0.945,0.849,0.394,119.993,386,4,58.49512,12,
Punk Rock Art Show,Gallery-81,spotify:track:2O362v4nWQ5iHgnPGEumkF,0.477,0.863,1,-5.56,1,0.375,4.64E-01,0.162,0.279,0.517,15.68,2868,4,39.8639,1,
Queen Of Mean,Sarah Jeffery,spotify:track:4o5DiCRQ9DNtGJGauwna,0.543,0.787,8,-6.52,1,0.241,0.248,,0.778,0.343,173.72,189397,4,32.8765,11,1
Success (feat. Aesop Rock),Mr. Lif,spotify:track:1p43hyK3jyQqXZBoseL6V2,0.69,0.916,2,-4.462,1,0.279,0.538,,0.114,0.935,84.79,25697,4,46.3192,1,
Corazon,Maluma X Nego do Borel,spotify:track:5cepAtqnEQ6yVG688zMMu,0.722,0.738,9,-6.73,,0.247,0.328,1.47E-01,0.198,0.748,198.75,18472,4,39.9473,8,1
Call of Nature,Emerald Sun,spotify:track:1K8bAJPDSSLdk7VHCH9JV,0.298,0.599,8,-5.624,1,0.3,0.237,,0.118,0.37,11.523,284971,4,26.8965,11,
Silly Love Songs,Glee Cast,spotify:track:3aahH1sW41ubo1PZeQCviE,0.643,0.585,,-6.724,1,0.289,0.586,4.67E-01,0.278,0.561,124.935,2316,4,46.78763,7,1
Wild Boy,MGK Featuring Waka Flocka Flame,spotify:track:5jcMhhJgXhtruaFIBbL3t,0.81,0.682,1,-4.676,,0.498,0.292,,0.226,0.484,14.61,231373,4,31.33953,12,1
Par Avion (Ambient),The American Dollar,spotify:track:UyLRWZleUOzC7X1L3DSgs,0.974,0.262,,-15.815,1,0.421,0.572,0.948,0.125,0.78,77.729,22582,4,19.4869,13,
V. 35,Childish Gambino,spotify:track:7xE37ctm1lifJZpmFLlX7,0.561,0.431,8,-9.53,1,0.444,0.18,0.22,0.117,0.132,165.854,225867,4,23.51122,11,1
Patience,Mikkel Metal,spotify:track:5cDChv1WQgXo8qJ7cyxmPE,0.459,0.141,4,-2.68,,0.35,0.879,0.931,0.225,0.52,99.898,422786,4,23.75564,28,
Domino,Jessie J,spotify:track:6MAdEUilV2p9RQUqE5bMAK,0.757,0.547,7,-4.573,1,0.355,0.115,,0.445,0.793,126.977,231693,4,38.169,8,1
Ride,SoMo,spotify:track:1CI6YgwwNq3VfhgxPuEpE6,0.698,0.524,11,-7.522,1,0.51,0.412,,0.844,0.31,114.922,289133,4,46.54284,11,1
1 Time,Jeezy,spotify:track:2kU6CvgKLjuaaRBeCxgKF,0.78,0.883,5,-3.533,,0.231,0.71,,0.811,0.74,81.755,22952,4,53.69496,8,
Street Fighter - Audiofreq Remix,Angerfist,spotify:track:7gbRHbSZIksPwtYbVXiKzk,0.498,0.988,7,-0.876,1,0.359,0.157,1.18E-01,0.237,0.457,18.61,18,4,16.2617,9,
Bills,LunchMoney Lewis,spotify:track:7rlCeTnjnplPZkVAcctPZ,0.699,0.747,5,-3.453,1,0.964,0.274,,0.486,0.683,126.1,246,4,31.32371,1,1
Like I Can,Sam Smith,spotify:track:2TeLIzFBe3hxkPR5FIQZut,0.656,0.627,7,-6.627,,0.379,0.343,2.17E-01,0.124,0.481,99.933,16766,4,27.791,1,1
Moonlight,XXXTENTACION,spotify:track:JP9xo3adEtGSdUEISiszL,0.921,0.537,9,-5.723,,0.84,0.556,0.44,0.12,0.711,128.9,1359,4,45.617,8,1
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,spotify:track:6pnx56o1zoHvMouS7rFI,0.68,0.766,9,-4.643,,0.937,0.113,,0.158,0.739,113.919,223773,4,52.4565,8,1
Lilijana,Mon Cote Punk,spotify:track:6f29z7DNLVIKRNFjRrAv5J,0.436,0.753,6,-3.72,1,0.62,0.193,,0.14,0.525,116.285,23928,4,31.49839,1,
Rock & Roll,The Velvet Underground,spotify:track:6BNn3GBfYO2esN9Fj9LZPA,0.496,0.63,5,-11.432,1,0.331,0.12,2.64E-01,0.366,0.723,132.621,281131,4,5.78467,1,
Silence,Keith Jarrett,spotify:track:3UY5xPp3WAuIQQTjZ2wu,0.331,0.219,7,-25.26,1,0.432,0.932,0.593,0.126,0.394,52.532,19232,3,92.86256,7,
Stutter,Maroon 5,spotify:track:7zmJyZL3DfYBBYbY8Rve6W,0.711,0.882,1,-2.772,,0.333,0.171,,0.111,0.813,119.991,19692,4,43.8158,8,1
That's On Me,Yella Beezy,spotify:track:5cVl3yklw5WX9YI36dPLd,0.83,0.648,4,-9.185,,0.198,0.288,,0.94,0.538,131.925,219552,4,29.64581,1,1
More Than Miles,Brantley Gilbert,spotify:track:28ov7yrukmJDAFtiThdTS,0.47,0.778,5,-5.992,1,0.37,0.295,0.225,0.354,0.448,152.5,252867,4,17.7398,11,1
If I Die Young,The Band Perry,spotify:track:4u26EevCNXMhlvE1xFBJwX,0.66,0.497,4,-6.611,1,0.277,0.348,,0.275,0.362,13.739,222773,4,39.84894,1,1
Alive,Krewella,spotify:track:2SHnUyZqzwmvRIl4WY77G,0.663,0.822,9,-2.99,1,0.557,0.413,0.318,0.234,0.567,128.2,2976,4,3.99379,12,1
The Silent Mutiny - Live,Visions of Atlantis,spotify:track:2JJk1npn77Rt6Wc1Lrhe,0.469,0.921,1,-6.992,1,0.595,2.38E-01,0.194,0.947,0.287,99.972,23352,4,91.6225,8,
Turbine,Black Asteroid,spotify:track:4BuvA6G4aRnez6egFdAyLh,0.941,0.765,8,-11.429,,0.578,0.171,0.52,0.113,0.139,129.997,32712,4,82.89163,14,
Magic,B.o.B Featuring Rivers Cuomo,spotify:track:5uHYcKnbEYgRaFTY5BqnP,0.549,0.932,8,-4.11,,0.343,0.127,,0.347,0.787,82.439,196133,4,27.46564,1,1
Broccoli,D.R.A.M. Featuring Lil Yachty,spotify:track:qy5D3OJre7SPJNMOL9I71,0.886,0.525,8,-7.39,1,0.132,0.236,,0.57,0.78,145.99,22525,4,47.28898,1,1
Racks,YC Featuring Future,spotify:track:1XWcdNQvGrX32fH9CwuWI,0.82,0.599,1,-9.796,,0.141,0.226,0.489,0.15,0.356,137.22,26538,4,85.9542,11,1
Not Automated,Lars Schneemann,spotify:track:35JtEhiRrNxXzeT8CKDzNy,0.748,0.871,11,-5.237,,0.18,0.174,0.731,0.186,0.168,128.51,35625,4,82.97561,9,
Revolte,Urban Blight,spotify:track:2uZTTNGsXjdZFYpr86b6PR,0.457,0.933,2,-6.666,1,0.13,0.42,0.128,0.796,0.225,129.36,171933,4,49.46268,8,
1 Bands,Drake,spotify:track:12d5QFwzh6IIHlsSnAvps,0.825,0.757,11,-3.687,,0.384,0.262,1.72E-01,0.762,0.89,172.938,177733,4,39.91353,9,1
Night Sounds Loud,Clear Light,spotify:track:6LC1ddChB2YD6LPhUgveq,0.353,0.836,11,-5.727,,0.923,0.56,0.189,0.771,0.51,129.75,146267,4,31.398,8,
Country Song,Seether,spotify:track:2abHKI9Oox4NBEhOh3HMbq,0.63,0.86,,-6.117,1,0.327,0.115,1.19E-01,0.231,0.911,95.978,22972,4,22.4432,11,1
You Make Me,Avicii,spotify:track:67OkWvEetAGLiunhARH6Wj,0.585,0.657,6,-7.546,1,0.48,0.246,0.513,0.156,0.546,125.7,23164,4,53.59822,8,1
Whistle,Flo Rida,spotify:track:3bC1ahPIYt1btJzSSEyyrF,0.747,0.937,,-5.746,1,0.453,0.28,,0.29,0.739,13.976,224653,4,29.48997,11,1
River Bank,Brad Paisley,spotify:track:U6uTxVPeoXFcxlXMIWgAR,0.639,0.875,7,-5.793,1,0.372,0.929,,0.296,0.892,117.28,1798,4,57.9682,7,1
Look Alive,Rae Sremmurd,spotify:track:2IGr3q6ljcpLvHDFLtIyW,0.786,0.583,,-7.415,1,0.393,0.552,1.84E-01,0.326,0.229,12.24,228,4,32.6726,7,1
Dil Diyan Gallan,Atif Aslam,spotify:track:5MnAi6ZF7cE8pAz7wYr9Ta,0.716,0.64,2,-8.726,1,0.25,0.565,0.139,0.127,0.485,15.12,26537,4,3.32891,8,
You Sound Good To Me,Lucy Hale,spotify:track:3aOnLQ7Q5bUxB8mqYWb7iX,0.638,0.893,1,-3.889,1,0.461,0.446,1.59E-01,0.847,0.87,92.18,192653,4,36.76559,7,1
Triumph Of Death,Vader,spotify:track:1KhAYFMAa8dnd3YcLnSrsy,0.555,0.959,1,-4.58,1,0.668,2.68E-01,0.543,0.969,0.299,12.531,22592,4,52.3893,12,
The Fox,Ylvis,spotify:track:5HOpkTTVcmZHnthgyxrIL8,0.73,0.867,6,-4.292,1,0.453,0.17,,0.119,0.546,128.8,21378,4,23.4661,12,1
We Don't Live There Anymore,Millionaire,spotify:track:28uHOWKXQXluSLNvlnySWC,0.434,0.959,5,-2.16,1,0.572,0.176,0.938,0.244,0.367,9.39,25897,4,23.38661,1,
Lemme See,Usher Featuring Rick Ross,spotify:track:4MevEW6tsWrpmzPKaqKUw,0.656,0.725,1,-4.67,1,0.596,0.262,,0.712,0.43,153.873,252827,4,47.58739,14,1
The Procrastinator,Lee Morgan,spotify:track:6JJS6nqLr5CNzKkCzr8d4h,0.42,0.547,3,-11.57,,0.346,0.485,,0.881,0.292,133.97,48693,4,4.7568,2,
Bamboo,Elder Island,spotify:track:2MzQd7zPsbN73mjr9AkL,0.554,0.573,1,-8.266,,0.662,0.44,6.11E-01,0.137,0.298,114.972,262651,4,47.88151,15,
Adrenalina,Wisin Featuring Jennifer Lopez & Ricky Martin,spotify:track:2eqDUxbdJPEhNrJdPlHLs,0.685,0.944,5,-2.793,1,0.145,0.856,,0.927,0.757,124.987,235547,4,53.66984,9,1
Atmosphere - Redux Mix,Kaskade,spotify:track:6iSQI1lLmoop4JOZrE13gN,0.73,0.642,1,-8.515,,0.412,0.24,0.118,0.782,0.356,123.162,34312,4,31.65959,14,
A New Day,DJ Pippi,spotify:track:7g5rS1UAo9c6M6ttT2N6Bk,0.816,0.517,8,-1.58,1,0.523,0.68,0.34,0.144,0.564,99.988,26157,4,53.4983,9,
La Cancion,J Balvin & Bad Bunny,spotify:track:fea68AdmYNygeTGI4RC18,0.754,0.646,7,-5.795,1,0.317,0.152,1.85E-01,0.18,0.429,176.89,242573,4,3.39226,12,1
Mi Meta Contigo,Banda Los Sebastianes,spotify:track:1OGze4EMgQ8NNrtdVLCf1,0.797,0.454,1,-7.72,1,0.365,0.332,1.60E-01,0.258,0.568,126.59,188587,4,24.6766,1,
Talladega,Eric Church,spotify:track:1TKlBK9cSrM5u4CiL4SETS,0.586,0.677,1,-8.343,1,0.294,0.43,0.936,0.884,0.562,144.1,26228,4,64.5929,8,1
Assassin's Creed IV Black Flag Main Theme,Brian Tyler,spotify:track:6enLk2V2sM6D6PGLjHxYv,0.32,0.621,7,-12.27,1,0.563,0.429,0.896,0.82,0.319,128.25,133378,3,43.79596,5,
Bailar,Deorro,spotify:track:1GLEEkKCUT2yK52sjWkOt,0.75,0.891,9,-3.751,1,0.226,0.246,6.24E-01,0.57,0.553,128.76,1635,4,42.111,8,
Make It Rain,Travis Porter,spotify:track:5p9gmJMwsz3zyAwoFFEv,0.926,0.69,1,-4.327,,0.175,0.78,,0.228,0.387,128.952,239493,4,45.2156,13,1
Peace and Love (feat. Masego & Rommel Donald),Tall Black Guy,spotify:track:1Fo5MlsAtW8u9DQ6qbtb8r,0.444,0.54,,-11.3,1,0.216,0.328,0.127,0.8,0.287,85.34,33717,4,114.11798,9,
No Hurry,Zac Brown Band,spotify:track:2ffiIfWvx5EH9VJ8Dkg2,0.564,0.531,3,-5.89,1,0.287,0.376,,0.312,0.47,146.18,226227,4,47.9962,8,1
Pray For Me,The Weeknd & Kendrick Lamar,spotify:track:77UjLW8j5UAGAGVGhR5oUK,0.735,0.677,2,-4.979,1,0.93,0.762,2.17E-01,0.111,0.188,1.584,21144,4,33.535,8,1
Birds Dont Sing,TV Girl,spotify:track:V34LU5aBA3hYgq178hFFY,0.612,0.942,7,-4.549,1,0.568,0.16,,0.137,0.87,16.57,29347,4,11.43619,5,
Snow In Space feat. Vokab Kompany - Original Mix,Stephan Jacobs,spotify:track:26xfzkhIGots5gzCZpPgF,0.497,0.812,4,-6.296,,0.544,0.153,0.557,0.152,0.357,173.873,148965,4,66.573,6,
Some Nights,fun.,spotify:track:6t6oULCRS6hnI7rmh5gwl,0.672,0.738,,-7.45,1,0.56,0.178,6.75E-01,0.927,0.392,17.938,2774,4,7.34945,1,1
Teach Me How To Dougie,Cali Swag District,spotify:track:61LtVmmkGr8P9I2tSPvdpf,0.846,0.438,11,-4.981,1,0.141,0.2,9.43E-01,0.939,0.512,85.13,23748,4,36.21877,15,1
Sober,Demi Lovato,spotify:track:STK94RxUulYqWzwFlyAb5,0.397,0.33,1,-1.413,1,0.11,0.798,4.16E-01,0.824,0.17,17.22,197893,3,34.53161,1,1
How Low,Ludacris,spotify:track:1WtTLtofvcjQM3sXSMkDdX,0.784,0.498,1,-6.977,1,0.533,0.248,1.23E-01,0.224,0.418,143.96,21587,4,73.4354,6,1
Talk To Me,Tory Lanez & Rich The Kid,spotify:track:51w9Jbat1pLeWINGCpnQUR,0.698,0.66,,-7.883,1,0.52,0.226,,0.622,0.451,159.949,248521,4,35.332,12,1
Empire,Shakira,spotify:track:1eIk4CkooTRycHSDfaShLC,0.541,0.628,,-4.682,,0.63,0.733,,0.56,0.364,8.27,239333,4,29.9882,9,1
Malagueña Salerosa - Sweetheart From Malaga,Esquivel!,spotify:track:3flP1CHe6iygxaRfvvgb6k,0.418,0.371,9,-12.735,,0.332,0.851,0.638,0.133,0.419,88.882,19924,4,36.71216,1,
San Dimas Oasis,COOLRUNNINGS,spotify:track:3CcgtTQ1GlssBDILeoiHOK,0.346,0.782,8,-8.149,1,0.713,0.334,1.98E-01,0.182,0.868,157.938,18464,5,37.6199,9,
Magnificat - Song of Mary,Arvo Pärt,spotify:track:5BQaZAoSR3it8IPYayhtFQ,0.157,0.114,1,-27.428,1,0.469,0.98,0.81,0.655,0.34,135.1,459213,1,61.4541,23,
Cryin' For Me (Wayman's Song),Toby Keith,spotify:track:5D2Sr7fTxeVfO4cYniJG7X,0.51,0.398,8,-7.685,,0.284,0.362,0.139,0.112,0.261,156.8,28557,4,42.3241,12,1
Funk Nights,Funktimizer,spotify:track:1BzIDrlGqAPKQAl7CP1ErQ,0.914,0.433,2,-12.354,,0.385,0.942,0.199,0.348,0.591,125.188,141876,4,6.996,6,
Clouds,Zach Sobiech,spotify:track:1ad6CbExeZneBGswe5YuSD,0.659,0.64,2,-6.544,1,0.263,0.151,0.477,0.19,0.211,96.935,179627,4,75.55912,6,1
Ocean,Martin Garrix Featuring Khalid,spotify:track:3nc42PXjTdBV5TNgCFkS,0.56,0.693,,-7.265,,0.412,0.584,9.58E-01,0.891,0.221,139.912,21642,4,42.8782,11,1
No Rights,Whipstriker,spotify:track:2s4f7uzuN94vTEke85szKY,0.461,0.929,2,-4.888,1,0.485,0.247,0.683,0.377,0.5,125.4,2674,4,23.154,14,
Breakeven,The Script,spotify:track:38xWaVFKaxZlMFvzNff2aW,0.63,0.698,1,-4.51,1,0.244,0.173,,0.789,0.529,94.23,261427,4,21.52347,1,1
Look Back At It,A Boogie Wit da Hoodie,spotify:track:3Ol2xnObFdKV9pmRD2t9x8,0.791,0.587,3,-5.75,,0.413,0.47,,0.148,0.536,96.57,179449,4,38.86,9,1
Decoy,Sybreed,spotify:track:1QaufBypm629L75nZSwyas,0.494,0.982,1,-4.737,,0.84,1.93E-01,0.19,0.315,0.54,1.45,37147,4,78.8793,16,
This Is What You Came For,Calvin Harris Featuring Rihanna,spotify:track:azC73Exh71aQlOt9Zj3y,0.63,0.928,9,-2.787,,0.331,0.199,0.124,0.148,0.465,123.963,22216,4,31.9716,13,1
From the Flames,Memoriam,spotify:track:5JTv4wEgiXw6vL6OR3WJKm,0.525,0.62,6,-15.15,1,0.466,0.247,0.572,0.14,0.146,8.57,339493,4,46.3189,12,
Dominanten 218,Kuselofte,spotify:track:5ivoPKks7tnkiY6mAROWeg,0.561,0.89,1,-3.817,1,0.754,0.12,,0.265,0.423,15.36,213643,4,79.83684,8,
"1, Hours",Dan + Shay & Justin Bieber,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,1,-4.644,1,0.259,0.153,,0.111,0.43,89.991,167693,4,46.91667,7,1
Fine By Me,Andy Grammer,spotify:track:4wTChUtU44TAMCxcQizi,0.583,0.791,11,-4.87,1,0.318,0.877,,0.451,0.878,89.993,172893,4,38.22391,11,1
Let It Go,James Bay,spotify:track:13HVjjWUZFaWilh2QUJKsP,0.546,0.311,1,-1.396,1,0.288,0.818,1.65E-01,0.17,0.246,147.464,26533,4,64.1556,11,1
XXX.,Kendrick Lamar Featuring U2,spotify:track:4iYRa2btalAzPZoSYfROqF,0.568,0.619,1,-6.899,1,0.414,0.138,1.67E-01,0.11,0.293,17.115,2542,4,24.57756,1,1
Sculpted in Tyranny,Devourment,spotify:track:4klnUiAuXnrPOiRNdGgc2L,0.256,0.918,1,-8.378,,0.141,1.15E-01,0.862,0.218,0.899,135.97,391747,4,2.3468,19,
Let You Down,NF,spotify:track:52okn5MNA47tk87PeZJLEL,0.662,0.714,5,-5.68,,0.121,0.312,,0.179,0.464,147.997,21212,4,27.132,11,1
Waves In The Red Cloth,Novembers Doom,spotify:track:2ADQuyrKBaxp5WDNwRAuE7,0.485,0.811,1,-6.844,1,0.371,0.441,0.266,0.18,0.24,16.88,33832,3,55.13614,16,
All of Us,Blindside,spotify:track:5Hp9Z1NwFMDhyi7ox6UVwc,0.57,0.878,2,-3.27,,0.328,0.149,2.79E-01,0.227,0.431,94.473,2116,4,61.87724,7,
Life of Sin,Sturgill Simpson,spotify:track:7oopRsh4jhdOtglVL3Dmf,0.499,0.699,4,-7.514,1,0.72,0.175,6.12E-01,0.148,0.814,169.244,14617,4,19.93,8,
Juice,Yo Gotti,spotify:track:1psC5iHzQxaTMZ5dWGfM6I,0.887,0.568,2,-5.853,1,0.323,0.171,1.11E-01,0.812,0.754,162.38,149242,4,3.4196,7,1
Cruise,Florida Georgia Line Featuring Nelly,spotify:track:i5el41vd6nxrGEU8QRxy,0.457,0.948,1,-3.364,1,0.354,0.191,,0.536,0.878,148,2896,4,21.74676,12,1
Blue,Dj Spinna,spotify:track:6Evho4eKYnu4nicOwQdu1,0.85,0.636,7,-1.435,,0.469,0.175,0.927,0.915,0.132,185.89,11262,4,31.89279,6,
No Good for Me,Boys of Fall,spotify:track:6eXY237nwwPcg9ffxRX5Eb,0.476,0.972,11,-3.336,1,0.156,0.116,,0.34,0.378,11.76,27273,4,35.46712,11,
Beautiful People,Ed Sheeran Featuring Khalid,spotify:track:4evmHXcjt3bTUHD1cvny97,0.64,0.648,5,-8.113,,0.187,0.124,,0.82,0.548,92.977,197867,4,57.992,8,1
Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",spotify:track:7zBQRGpYImAdIZc97FNj3V,0.596,0.815,6,-5.668,,0.755,0.111,,0.174,0.459,165.15,26567,4,61.99116,9,1
4ÆM,Grimes,spotify:track:cAGNiWXRAXX1QKn3Ssbzd,0.482,0.95,7,-4.371,,0.419,0.971,0.295,0.288,0.116,93.19,27983,4,44.46969,11,
Heaven,Kane Brown,spotify:track:1HXy5I3HTWq8OvxCnz7G7,0.677,0.556,9,-6.544,1,0.36,0.263,,0.15,0.521,8.9,17957,4,24.9373,9,1
Usagi Funk,Night Tempo,spotify:track:4y173YPGEEH32niIS4Anb,0.85,0.745,1,-7.125,,0.162,0.227,0.984,0.411,0.923,99.986,2124,4,39.21752,1,
Invisible,Hunter Hayes,spotify:track:2B5eyFQtFKNIR48vfvNJ,0.38,0.568,1,-5.713,1,0.436,0.327,,0.822,0.259,155.956,2764,4,23.84158,12,1
You Don't Know Her Like I Do,Brantley Gilbert,spotify:track:4WnY4W5KrqglCdIus8X9Bo,0.49,0.716,4,-6.681,1,0.441,0.22,0.48,0.526,0.288,74.988,28652,4,87.6823,7,1
"Cello Suite No. 1 in G Major, BWV 17: V. Menuet I-II",Johann Sebastian Bach,spotify:track:4QYN6m8jAxNhUBb2sQa4U,0.539,0.227,7,-31.87,1,0.566,0.96,0.896,0.118,0.626,128.882,184787,4,56.6254,8,
New Flame,Chris Brown Featuring Usher & Rick Ross,spotify:track:3fBbfrWZUuWWrMQXFISr7N,0.72,0.629,1,-4.292,1,0.41,0.56,,0.963,0.446,141.967,244227,4,4.6871,11,1
The Bones,Maren Morris,spotify:track:3npzogdOEiVsieXmmhBepL,0.612,0.57,11,-6.642,,0.347,0.279,,0.963,0.335,77.4,197293,4,62.64149,8,1
Don't Stop The Party,The Black Eyed Peas,spotify:track:61s24wRVyG7NP9m7EjdDKL,0.869,0.794,,-6.191,1,0.984,0.33,3.81E-01,0.7,0.656,128.22,367413,4,28.15695,15,1
Mikasa,Veil Of Maya,spotify:track:3WERezDCiZxIDfghCax9uJ,0.51,0.991,7,-1.731,1,0.996,2.46E-01,,0.17,0.222,11.1,189858,3,59.73441,7,
Stressed Out,twenty one pilots,spotify:track:3CRDbSIZ4r5MsZYwxuEkn,0.734,0.637,4,-5.677,,0.141,0.462,2.29E-01,0.62,0.648,169.977,22333,4,4.3591,11,1
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,spotify:track:2FvD2Z8aoWIePi7PoN8sG,0.816,0.582,8,-4.141,1,0.341,0.794,5.84E-01,0.916,0.542,16.4,136366,4,25.24618,9,1
You're My Medicine (feat. Marvin Gaye) - Blue Note Version,Gare Du Nord,spotify:track:KleGt2bfaxQ4CymZp1934,0.653,0.618,7,-1.1,,0.323,0.758,0.43,0.123,0.759,89.968,25477,4,24.83196,1,
I Don't Want This Night To End,Luke Bryan,spotify:track:cV4xwUA4ue2deqq4CZFko,0.616,0.728,9,-4.2,,0.278,0.275,,0.228,0.375,111.934,219973,4,42.6462,12,1
Yeah Boy,Kelsea Ballerini,spotify:track:2WaOQWSvD1tZNxyLvnGAI,0.589,0.89,3,-5.292,1,0.376,0.231,,0.719,0.496,88.965,194413,4,96.5985,6,1
Kuolleiden Kulkue,Synestesia,spotify:track:4ArVoefewxDQjn57bN76G8,0.454,0.946,7,-5.49,1,0.682,1.81E-01,0.825,0.776,0.336,99.979,338147,4,39.2642,11,
"O Come, O Come Emmanuel - Live",for KING & COUNTRY,spotify:track:3S22RDVjvviAG8tm8J4nVi,0.251,0.489,,-8.4,,0.338,0.26,2.27E-01,0.88,0.145,84.736,2548,3,22.1558,12,
True Love,P!nk Featuring Lily Allen,spotify:track:1QNqrsNQ1JVLEwncov3lEY,0.457,0.823,9,-4.76,1,0.311,0.144,,0.18,0.578,192.25,23733,4,46.69976,8,1
Building Bloxx,Dj Spinna,spotify:track:1ywbZ7FfMe6C4vmm7eMId7,0.693,0.852,6,-7.581,1,0.677,0.553,0.86,0.651,0.696,84.936,141546,4,26.8385,9,
Called Out In The Dark,Snow Patrol,spotify:track:4BBtkc625eUAdG2XpWPHm,0.726,0.712,,-4.68,1,0.313,0.175,1.70E-01,0.826,0.961,12.3,241933,4,23.268,14,1
Night Of Your Life,David Guetta Featuring Jennifer Hudson,spotify:track:3edtfOPItUNifLGYHIH1Oj,0.739,0.75,1,-5.797,,0.414,0.1,,0.25,0.349,128.26,221973,4,22.76154,11,1
Ghost,Ella Henderson,spotify:track:4z7gh3aIZV9arbL9jJSc5J,0.68,0.84,9,-3.823,1,0.415,0.457,8.38E-01,0.143,0.468,14.985,213213,4,51.72899,9,1
Spirit of Life,Blackmill,spotify:track:6eRPYyh1EPRqDhgb3Nardw,0.537,0.596,5,-8.481,,0.343,0.276,0.77,0.358,0.19,14.26,375433,4,24.44485,13,
Fire & Desire,Drake,spotify:track:4BhGTc3Cgay2U1QcTS7vQe,0.722,0.252,1,-14.411,,0.762,0.671,,0.852,0.276,79.923,23812,4,43.955,1,1
Arthur Comes to Sophie,Hildur Guðnadóttir,spotify:track:dvAO2KbsqDZGv8g3JFRy,0.198,0.33,,-15.555,1,0.331,0.491,0.812,0.85,0.521,8.24,9913,1,21.84676,5,
All Over Me,Josh Turner,spotify:track:1s8DkdE3uOWrGU7vonKrbK,0.546,0.776,1,-7.359,1,0.352,0.43,0.633,0.193,0.888,169.847,199493,4,24.5768,11,1
The Show Goes On,Lupe Fiasco,spotify:track:4NTWZqvfQTlOMitlVn6tew,0.591,0.889,7,-3.839,1,0.115,0.189,,0.155,0.65,143.67,239613,4,33.41965,12,1
Sledgehammer,Fifth Harmony,spotify:track:4rUTAkOU7OkVGeQuyQCHhF,0.671,0.777,2,-4.322,1,0.46,0.57,0.11,0.783,0.289,99.98,2397,4,5.39177,1,1
Body Rock - Original Mix,West Norwood Cassette Library,spotify:track:2YmYgNDwqMduku4pokbUWh,0.695,0.852,1,-7.87,,0.427,7.93E-01,0.754,0.662,0.843,99.284,465895,4,77.98267,11,
Keanu Reeves,Logic,spotify:track:3PYx9Wte3jwb48VwArMOy,0.712,0.891,2,-6.457,1,0.24,0.557,,0.134,0.799,17.13,22592,4,47.4855,1,1
Creep - Jazz Version,Bebo Best,spotify:track:HZ1OwWK61NsWnWMtf684h,0.67,0.486,7,-13.38,1,0.261,0.162,0.541,0.38,0.474,94.1,234947,4,68.3661,11,
Trailerhood,Toby Keith,spotify:track:2CdGhu82tkVWkXDPyJCiwU,0.663,0.83,7,-4.584,1,0.39,0.246,1.41E-01,0.285,0.866,98.22,173693,4,62.99986,5,1
Now About To Rock,Sean Downey,spotify:track:5GsIXsoIrGLAjCRELZylcT,0.644,0.628,,-4.332,1,0.314,0.959,0.193,0.218,0.673,12.59,146827,4,25.261,5,
Feeling Myself,Nicki Minaj Featuring Beyonce,spotify:track:5fyIGoaaKelzdyW8ELhYJZ,0.564,0.73,2,-5.459,1,0.269,0.437,0.927,0.358,0.477,139.45,23784,4,2.96189,11,1
Lemon,N*E*R*D & Rihanna,spotify:track:4PpuH4mxLrD35mOWaLoKS,0.916,0.727,1,-6.556,1,0.861,0.214,0.145,0.118,0.21,94.997,21977,4,74.3393,7,1
Night Train,Jason Aldean,spotify:track:5ytc87gcx6dZ4nWRNykinV,0.496,0.78,5,-5.175,1,0.293,0.512,1.60E-01,0.182,0.52,158.121,23237,4,29.55435,1,1
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",spotify:track:14PlDNjNh3pXyHXzkhX8n5,0.599,0.857,7,-5.7,1,0.299,0.321,,0.4,0.469,187.985,151915,4,45.66561,6,1
